epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,287.501,0.99333,5.45454,1.00004,0.89415,0.75382,0.85972,0.70641,0.68952,1.69503,0.83952,3.02636e-05,3.02636e-05,3.02636e-05
2,546.728,0.61328,1.46763,0.85197,0.94735,0.89597,0.9576,0.82887,0.5578,1.0119,0.80969,5.93971e-05,5.93971e-05,5.93971e-05
3,805.64,0.51733,1.03369,0.82948,0.95554,0.93413,0.97348,0.87303,0.46251,0.78092,0.79495,8.73294e-05,8.73294e-05,8.73294e-05
4,1063.3,0.47133,0.85694,0.81819,0.97318,0.94605,0.98339,0.89598,0.42305,0.66809,0.7888,8.55946e-05,8.55946e-05,8.55946e-05
5,1320.15,0.43803,0.74925,0.81214,0.97134,0.95674,0.98592,0.90124,0.41181,0.60884,0.78693,8.37928e-05,8.37928e-05,8.37928e-05
6,1572.22,0.41311,0.66924,0.80697,0.98091,0.96315,0.98928,0.90508,0.41373,0.55957,0.78598,8.1991e-05,8.1991e-05,8.1991e-05
7,1828.95,0.39581,0.63511,0.80432,0.97997,0.96918,0.99011,0.92049,0.36891,0.52445,0.7802,8.01892e-05,8.01892e-05,8.01892e-05
8,2084.49,0.38151,0.58307,0.80255,0.98546,0.96818,0.99141,0.9236,0.36527,0.48899,0.78025,7.83874e-05,7.83874e-05,7.83874e-05
9,2339.86,0.36615,0.56466,0.79986,0.98535,0.97341,0.99165,0.93116,0.34654,0.47481,0.77688,7.65856e-05,7.65856e-05,7.65856e-05
10,2596.67,0.35838,0.54195,0.79885,0.98745,0.97435,0.99257,0.93592,0.34132,0.45876,0.77586,7.47838e-05,7.47838e-05,7.47838e-05
11,2852.12,0.3437,0.51951,0.79665,0.98681,0.97899,0.99279,0.93338,0.34979,0.45153,0.77751,7.2982e-05,7.2982e-05,7.2982e-05
12,3101.59,0.33834,0.50171,0.79593,0.98624,0.98128,0.99278,0.94101,0.32656,0.43307,0.77449,7.11802e-05,7.11802e-05,7.11802e-05
13,3356.68,0.33044,0.48112,0.79467,0.98946,0.98559,0.99373,0.9427,0.31986,0.41028,0.77418,6.93784e-05,6.93784e-05,6.93784e-05
14,3611.17,0.32479,0.46814,0.79255,0.99084,0.98536,0.99367,0.94528,0.31625,0.40551,0.773,6.75766e-05,6.75766e-05,6.75766e-05
15,3866.44,0.31506,0.45698,0.79195,0.99086,0.98521,0.99374,0.94791,0.30438,0.39283,0.7721,6.57748e-05,6.57748e-05,6.57748e-05
16,4119.37,0.31564,0.45784,0.79203,0.99037,0.98611,0.99386,0.95069,0.29911,0.38728,0.77105,6.3973e-05,6.3973e-05,6.3973e-05
17,4373.91,0.30873,0.45028,0.79045,0.99176,0.98633,0.99393,0.95205,0.2962,0.38156,0.77057,6.21712e-05,6.21712e-05,6.21712e-05
18,4632.38,0.30122,0.43367,0.78929,0.99212,0.98623,0.99355,0.95265,0.29453,0.37607,0.77087,6.03694e-05,6.03694e-05,6.03694e-05
19,4887.56,0.29691,0.42206,0.78969,0.99173,0.98827,0.99369,0.95584,0.28664,0.36267,0.76935,5.85676e-05,5.85676e-05,5.85676e-05
20,5139.88,0.29402,0.42058,0.78849,0.99244,0.98627,0.99353,0.9557,0.28833,0.36472,0.76965,5.67658e-05,5.67658e-05,5.67658e-05
21,5387.48,0.29144,0.41554,0.78848,0.99273,0.9883,0.99395,0.95324,0.2978,0.36765,0.77057,5.4964e-05,5.4964e-05,5.4964e-05
22,5633.55,0.28733,0.4052,0.78753,0.99281,0.98879,0.99399,0.96004,0.27241,0.34585,0.76802,5.31622e-05,5.31622e-05,5.31622e-05
23,5889.3,0.28256,0.40288,0.78744,0.99266,0.98913,0.99424,0.9603,0.27544,0.34971,0.76856,5.13604e-05,5.13604e-05,5.13604e-05
24,6144.91,0.27698,0.39149,0.78585,0.99345,0.98794,0.99424,0.95937,0.27956,0.35024,0.76897,4.95586e-05,4.95586e-05,4.95586e-05
25,6392.16,0.27518,0.38829,0.78591,0.99367,0.99004,0.99433,0.96171,0.26906,0.33484,0.76759,4.77568e-05,4.77568e-05,4.77568e-05
26,6646.6,0.27177,0.38442,0.7853,0.99309,0.98918,0.99427,0.96318,0.26778,0.33207,0.76756,4.5955e-05,4.5955e-05,4.5955e-05
27,6902.83,0.27018,0.37999,0.78516,0.99211,0.99087,0.99448,0.95996,0.27585,0.33911,0.76835,4.41532e-05,4.41532e-05,4.41532e-05
28,7147.36,0.26734,0.37543,0.78532,0.99469,0.99109,0.99448,0.96387,0.26495,0.32466,0.76697,4.23514e-05,4.23514e-05,4.23514e-05
29,7405.51,0.26381,0.36958,0.78423,0.99552,0.98947,0.9942,0.96491,0.26364,0.32132,0.76716,4.05496e-05,4.05496e-05,4.05496e-05
30,7661.18,0.26023,0.36272,0.78337,0.99396,0.99113,0.99449,0.96515,0.26394,0.31989,0.7666,3.87478e-05,3.87478e-05,3.87478e-05
31,7916.62,0.25668,0.35649,0.78298,0.99479,0.9913,0.99465,0.96565,0.26038,0.31533,0.76674,3.6946e-05,3.6946e-05,3.6946e-05
32,8173.21,0.25488,0.3557,0.78247,0.99539,0.9911,0.99467,0.96798,0.2539,0.31072,0.7658,3.51442e-05,3.51442e-05,3.51442e-05
33,8430.83,0.25182,0.34819,0.78305,0.99498,0.99256,0.99475,0.96644,0.26,0.31023,0.76604,3.33424e-05,3.33424e-05,3.33424e-05
34,8681.41,0.24911,0.34683,0.78263,0.99592,0.99049,0.99474,0.96949,0.24977,0.30566,0.76545,3.15406e-05,3.15406e-05,3.15406e-05
35,8941.21,0.24849,0.34536,0.78223,0.99555,0.9904,0.99477,0.96981,0.2462,0.30274,0.76527,2.97388e-05,2.97388e-05,2.97388e-05
36,9198.85,0.24439,0.33942,0.78161,0.99512,0.99209,0.99468,0.97006,0.24569,0.29853,0.76488,2.7937e-05,2.7937e-05,2.7937e-05
