epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,270.65,0.2377,0.32691,0.78118,0.99601,0.99288,0.9948,0.97337,0.24182,0.29485,0.76455,3.02736e-05,3.02736e-05,3.02736e-05
2,535.222,0.25365,0.35422,0.78433,0.99469,0.98953,0.99444,0.96923,0.25451,0.32015,0.76619,5.76069e-05,5.76069e-05,5.76069e-05
3,806.376,0.26368,0.37297,0.78594,0.99401,0.99178,0.99462,0.96605,0.26384,0.3311,0.76764,8.19372e-05,8.19372e-05,8.19372e-05
4,1082.47,0.27081,0.38377,0.7871,0.9938,0.99268,0.99483,0.96518,0.26534,0.32896,0.76744,7.74865e-05,7.74865e-05,7.74865e-05
5,1361.12,0.26836,0.3782,0.78705,0.99475,0.99178,0.99473,0.96783,0.25759,0.32204,0.76661,7.2982e-05,7.2982e-05,7.2982e-05
6,1641.39,0.26422,0.36822,0.78629,0.99461,0.99241,0.99449,0.96718,0.26326,0.32389,0.76733,6.84775e-05,6.84775e-05,6.84775e-05
7,1919.07,0.2611,0.36326,0.78619,0.99503,0.99203,0.99456,0.96923,0.24919,0.31222,0.76601,6.3973e-05,6.3973e-05,6.3973e-05
8,2197.69,0.25797,0.35843,0.78597,0.9961,0.9922,0.99485,0.97093,0.25261,0.31421,0.76647,5.94685e-05,5.94685e-05,5.94685e-05
9,2477.2,0.25259,0.34847,0.785,0.99569,0.99295,0.99492,0.97364,0.24132,0.29963,0.76477,5.4964e-05,5.4964e-05,5.4964e-05
10,2762.82,0.24908,0.34307,0.78265,0.99525,0.99283,0.99453,0.97305,0.24449,0.30029,0.76489,5.04595e-05,5.04595e-05,5.04595e-05
11,3050.53,0.23091,0.29084,0.7671,0.99663,0.99355,0.9948,0.96938,0.25913,0.3058,0.76738,4.5955e-05,4.5955e-05,4.5955e-05
12,3327.44,0.22149,0.28105,0.76651,0.9961,0.99237,0.9946,0.97384,0.23918,0.29582,0.76474,4.14505e-05,4.14505e-05,4.14505e-05
13,3613.93,0.215,0.27322,0.76584,0.996,0.99327,0.99485,0.9744,0.23527,0.29044,0.76471,3.6946e-05,3.6946e-05,3.6946e-05
14,3900.62,0.21131,0.26923,0.76562,0.99636,0.99397,0.99486,0.97585,0.23151,0.28332,0.76405,3.24415e-05,3.24415e-05,3.24415e-05
15,4187.23,0.2079,0.26408,0.7647,0.99631,0.99369,0.99465,0.97609,0.22997,0.28286,0.76388,2.7937e-05,2.7937e-05,2.7937e-05
16,4473.53,0.201,0.25655,0.76507,0.99654,0.99366,0.99466,0.97662,0.22593,0.27484,0.76369,2.34325e-05,2.34325e-05,2.34325e-05
17,4760.69,0.19832,0.25225,0.76404,0.99669,0.99415,0.99487,0.97739,0.22529,0.27143,0.76332,1.8928e-05,1.8928e-05,1.8928e-05
18,5046.26,0.19311,0.24532,0.76232,0.99703,0.99359,0.99485,0.97892,0.21847,0.26605,0.76259,1.44235e-05,1.44235e-05,1.44235e-05
19,5336.99,0.1881,0.23749,0.76348,0.99692,0.9938,0.99465,0.97854,0.21817,0.2625,0.76241,9.919e-06,9.919e-06,9.919e-06
20,5615.85,0.18464,0.23395,0.76197,0.99688,0.9948,0.99492,0.9787,0.21645,0.25812,0.7621,5.4145e-06,5.4145e-06,5.4145e-06
